book_id,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,choice_11,choice_12,choice_13,choice_14,choice_15,choice_16,choice_17,choice_18,choice_19,choice_20
2806,1908,5238,499,5973,5128,6234,7872,2479,9129,7249,951,4429,8874,4369,1124,2229,7800,1586,5616,484
2807,3330,2306,2887,3673,2930,3814,1273,4889,3819,5576,6811,7834,1653,5814,7596,4901,9415,4293,1889,1962
2808,3500,3393,2654,5168,4914,4257,2416,6581,6744,1880,7578,9133,7030,7464,7747,6380,9480,3989,7056,2947
2809,8470,701,8908,2367,9024,3907,6180,3791,6307,934,782,2747,4974,3210,3595,213,8189,6768,8249,9111
2810,3076,3131,4622,9966,3002,8572,5404,8357,829,1518,8280,8361,7668,8950,9214,1214,8503,1949,1570,1035
2811,3530,3492,3938,3096,1931,2198,1463,1418,1693,5232,6472,1686,6330,4799,5160,5203,4553,7506,2285,8038
2812,6122,5029,8203,8054,849,9742,5434,9249,6503,8597,4346,4669,5436,7229,9708,2256,4343,6721,541,5384
2813,8839,3312,6623,811,5762,1508,3209,2583,8268,1174,6479,4176,8698,8166,4032,1490,9306,226,5620,8685
2814,1502,535,1022,4921,1308,393,752,1353,2167,774,1264,2932,452,842,7373,9633,3463,1743,8695,1651
2815,3273,2573,3300,1573,1407,9374,1902,2057,9307,6710,1245,963,2212,7746,1733,8333,1301,4907,5018,7175
2816,4339,5025,7157,2267,183,5566,8231,351,7926,7288,4393,880,9500,5729,1696,8573,583,210,166,2201
2817,2491,2045,1262,1105,8049,9675,6440,8766,9749,6188,2196,2536,2646,6318,8783,9814,3072,2624,5470,1213
2818,4323,7264,2788,8013,3164,4344,9229,9077,3435,6040,8065,3390,7365,8591,4225,2906,2652,6990,8138,7397
2819,5769,7121,4995,9669,7565,3753,8157,4383,2471,6968,2873,9947,9915,6340,4885,3644,441,802,6465,6085
2820,2368,3284,1762,1317,4265,2087,5157,2603,3468,3787,4639,8731,5737,847,1386,1567,381,1145,1675,625
2821,3904,3138,5567,4698,1112,1210,5827,133,1956,4014,2571,2324,3234,2556,5458,8591,1489,3580,3739,7312
2822,6192,9199,5715,7825,6690,8894,7139,2995,7675,2924,4771,4379,3668,4263,8397,5750,7722,1534,4860,7741
2823,5934,5588,3612,5668,5417,6153,6910,4909,4647,5239,2030,5176,4506,3957,7549,7042,6858,6610,6580,823
2824,4413,613,417,5292,6544,7918,7138,1689,379,457,2476,1011,2359,9119,3686,3406,7498,5104,4347,4129
2825,3174,3601,4571,4806,1528,5672,6246,6797,5951,2828,1230,1346,3697,9086,5494,2898,3291,2006,1429,8799
2826,4742,5720,6974,2972,7903,7136,1143,3017,9269,5555,3633,2576,9706,4764,4448,812,3732,2208,2185,3297
2827,6975,3533,6276,9866,6069,9628,1100,8399,6533,3841,5061,1854,2683,7889,4924,2073,4809,9405,8199,1755
2828,3697,4543,1346,1230,917,3532,6797,4571,3601,2825,1356,1674,5672,3174,7320,5494,4806,2682,598,1731
2829,8985,8709,3327,5650,9872,1212,6852,6310,8184,9506,7009,836,4576,3267,1395,1442,9787,551,6831,6423
2830,2622,2515,3786,2835,3190,3167,3214,3470,2920,2964,3449,2059,4056,7456,6685,6357,5839,8146,6672,6821
2831,9064,9910,1874,3951,8940,9834,9260,2636,5138,4140,1851,5120,2905,8174,7907,771,5177,7209,2602,366
2832,6753,9872,277,6310,2915,8245,886,7365,5384,1393,3619,4011,5254,1442,7438,6587,3178,9350,6798,4765
2833,1467,5022,5822,9492,4152,9654,8590,8335,8990,258,9951,4398,8283,9891,2847,7910,7527,9034,7661,8159
2834,4906,8633,4367,9454,3071,4140,1420,3543,7569,1514,10000,7677,3091,9993,4696,7365,8316,366,3570,4004
2835,3167,3190,3470,2830,2622,3214,2515,3786,2920,3449,2964,2059,4056,6821,6685,5235,5839,7851,7456,4523
2836,7805,6915,8358,9010,9843,9672,7433,7220,8183,3453,6789,6209,5544,4267,4141,3950,2799,5970,7023,7451
2837,3041,6586,3520,4054,4893,4292,5268,2572,3939,5053,4785,1777,4723,3734,5212,7862,2865,2108,7861,3785
2838,8139,827,837,6655,8866,6226,8095,921,5279,995,324,5118,6993,632,2112,2104,6466,2876,1767,7220
2839,9411,6358,8129,8307,5987,7865,318,2348,4300,6432,4853,9485,5807,3038,1819,9641,9012,9786,9181,2332
2840,1539,8722,9823,3294,8065,8362,4001,3334,5125,852,2538,2037,2535,1076,1688,5754,1198,5161,9801,4239
2841,3545,3933,2661,758,9993,2627,1976,4483,9280,2441,1344,1235,1460,2718,9514,7548,956,2357,7762,3675
2842,3537,3357,4618,4463,4512,4294,5941,3050,1534,2539,4948,6134,2383,7463,1831,4040,3945,2180,2791,3005
2843,8157,3942,2426,4213,532,1950,2111,8982,2782,8880,3679,753,7377,4507,3959,9775,5976,9741,502,8077
2844,9973,7929,6437,3694,2788,1577,3349,1404,7898,4489,1106,7004,4154,2727,5364,2621,2652,9065,4949,6258
2845,3777,2265,4751,1820,685,5025,7157,6053,7553,259,376,7451,415,3031,8831,4559,5342,3337,7617,1054
2846,3715,361,2600,1477,590,83,2952,6190,8357,160,2355,301,560,9455,3088,204,1184,646,478,770
2847,5022,8778,7424,6497,1736,6356,5126,4349,4212,4001,8353,9425,7449,2535,2833,5302,4420,8803,5820,8601
2848,551,2652,5468,2137,1385,3269,1538,7731,9072,4001,1912,7482,8809,4856,4834,4029,9324,1195,8723,5738
2849,2055,3394,3277,5121,4636,3355,1138,5781,3161,5758,5770,6660,8431,7053,2048,6174,7348,3155,8608,3906
2850,3702,1335,8507,9976,5156,7957,7124,933,5287,6492,355,2608,3244,4194,4193,842,5875,2623,393,3663
2851,4179,2758,1828,5213,1126,2894,8559,3944,3651,2656,2099,3629,2434,585,803,6378,810,5001,9695,4930
2852,1403,3370,5091,6751,3193,1177,6234,8202,9508,5128,4174,2339,9927,2309,8832,7749,7713,5581,1903,1117
2853,2688,3184,1689,4568,5124,7665,9508,6328,9177,5361,9694,4141,7346,9835,6806,6466,8136,4133,3067,7431
2854,7503,1758,1202,9707,3143,2612,4383,7352,6909,757,8357,829,311,8226,4832,1771,8819,3460,9784,1393
2855,7980,6868,6676,6071,931,7132,7876,9747,1810,8615,8785,9676,6129,7912,9892,8579,8580,3324,8256,7512
2856,9786,692,8938,5196,3847,1899,2551,2872,7972,4900,7487,8713,8138,6757,8346,3067,6793,328,3475,331
2857,6853,2445,8719,4290,5123,8323,4231,9119,4447,511,671,4638,1240,3449,4779,6544,982,227,3850,8412
2858,3168,2882,907,3865,4402,1612,5522,4084,5411,4308,4121,5600,4680,4871,5158,5431,4172,5818,6994,4065
2859,2666,1972,2242,5655,2730,2673,5144,628,1643,785,5876,288,8727,4533,2594,1963,6790,1592,9879,9640
2860,2781,2794,8120,8312,2957,3061,9219,7727,1106,5229,493,1937,4981,3795,3951,8859,6575,8907,5228,362
2861,3276,3089,3664,3369,2389,1616,4675,4667,9897,6053,4458,4230,8607,9734,6133,9564,6859,2968,1535,2282
2862,3804,1719,5304,3806,4085,6807,799,5775,2213,5195,4528,4795,3513,6073,5507,3065,2657,7047,5558,6833
2863,5481,6377,4825,7809,6338,6903,5083,4696,7048,6238,5467,6140,9614,5103,2308,3840,4523,6832,9502,1777
2864,4947,2127,1875,1266,5400,8585,1781,2731,4982,6297,2409,971,9853,4439,6645,3376,5143,1632,7753,6850
2865,3520,5212,3041,3181,3939,2572,3785,7862,7019,3248,4292,5435,2308,3203,6586,4785,2022,9502,1141,4723
2866,7892,6754,1368,7128,6152,4925,9141,3512,5714,3731,894,2944,7502,1042,1128,5782,2086,3901,429,6150
2867,6824,3041,3520,2865,3939,5212,6572,6832,4723,6586,4054,3181,1141,6291,5275,9502,3320,3785,6730,4780
2868,4409,5190,4267,5856,1983,6111,2364,2776,1556,1169,3589,1295,1769,750,2801,1994,7674,3666,965,3040
2869,4640,5346,8818,7907,7008,3719,6447,4973,7309,4055,9984,5326,8538,3954,6704,2464,8432,6438,3472,7649
2870,2456,1215,1789,831,667,1667,615,443,541,4033,3372,1669,6388,2270,7284,5434,1718,1066,6434,5997
2871,3725,3798,8568,5848,7816,859,917,1905,1412,4472,746,2154,1230,1346,1356,1200,2631,2493,3341,565
2872,2551,9786,3615,7699,2856,6355,262,318,267,1499,7040,3847,2772,7034,5133,1101,9369,3401,8434,3475
2873,8961,1881,1191,3541,4361,897,4371,487,5100,9277,914,7098,640,633,7149,1003,1448,1800,168,2536
2874,3213,3258,3605,4754,5818,6267,1751,8860,1680,1966,2432,5006,6994,2405,5748,6942,2091,1930,2159,6761
2875,8107,3519,3156,3002,1681,1434,2197,959,323,701,4250,4582,1509,1041,1949,1454,160,177,4605,1393
2876,1849,4033,3879,5736,5279,149,475,9470,9880,1720,9769,6470,950,2962,3045,6881,324,5105,3372,9314
2877,2078,4271,1823,1545,2446,1108,1695,1996,3698,1120,2892,2648,4375,2541,4886,6656,4053,3662,601,2168
2878,5129,9155,5799,5365,4846,4066,3058,4616,3741,6344,9592,4912,6796,8945,5408,5654,3940,3619,4794,7732
2879,2039,2181,3232,1447,1211,1603,3348,2582,1478,876,3051,2260,6860,2446,4434,1229,7330,4180,1648,4709
2880,9734,6377,2457,5481,6638,9897,8607,9614,4056,3467,3285,69,6238,9529,5515,2863,3786,6577,1045,1264
2881,2944,2470,3000,1337,2554,3654,2718,3362,3462,2677,2043,2271,3359,2658,3200,2936,2109,3547,2501,5099
2882,3168,2858,907,3865,4402,1612,4308,5431,4871,5522,5411,5818,4084,4065,4680,6994,1930,3213,5277,4121
2883,2633,2433,1426,4427,2991,1101,1842,1149,908,1052,1685,1532,1899,331,616,791,328,6566,749,821
2884,5488,1505,5360,1997,1002,4500,9769,3749,1169,2533,4299,632,5645,581,1951,5475,3975,752,1965,3453
2885,9399,199,8528,8662,6088,9080,7630,3148,697,9750,5098,381,7812,3741,767,396,9020,5744,1942,8331
2886,5893,2146,6537,1129,8287,8827,2194,9757,6309,6372,9206,7824,8378,8013,9687,3347,5279,5074,4323,1062
2887,2930,3330,2306,3673,2807,3814,3819,4889,1273,5576,6811,7834,4901,1653,1962,1889,5316,5814,1636,5721
2888,1911,1325,2207,4111,9674,3494,473,8387,3267,5422,4900,695,8938,8255,1065,2690,4854,4307,1173,4176
2889,565,603,389,562,1665,3768,1200,3478,1049,970,6673,3753,1374,917,988,1429,4776,2721,9992,8038
2890,6277,8541,7180,9981,726,8972,8756,8418,8730,3125,2574,1091,2014,3431,922,3035,2031,242,902,2970
2891,2756,2531,2427,2909,2200,3060,3624,2477,5633,4207,5622,2391,6562,8123,8003,2019,6197,5516,2120,4125
2892,2446,3151,876,3698,1823,2078,9125,6778,5003,2260,4886,2467,3988,1765,7011,9239,9230,2541,3279,3936
2893,4590,2384,3467,4358,2596,3705,3280,3982,2751,2497,2639,3870,3965,2574,3198,3366,4025,4673,3507,3494
2894,4415,7406,803,6108,2851,2758,5291,7712,3651,5001,1828,9695,2656,5213,1126,810,6651,2460,2585,720
2895,892,1069,7200,2246,1415,6149,4147,5702,4356,537,3661,7920,2166,1926,9878,7577,9765,2414,5796,6463
2896,845,4457,9886,9835,5205,6847,8341,2495,8534,9028,5452,7148,3848,3114,2404,8013,8958,6643,4323,7588
2897,4418,5625,9514,8045,943,7522,2615,2441,5841,1976,9337,758,9997,2233,5454,538,7003,2063,1313,4140
2898,7349,8799,9376,6602,5247,9877,6653,2825,593,7551,2258,1089,6650,1191,3541,5329,9848,1484,9863,3482
2899,3955,2234,7286,267,2663,7710,459,437,1455,2281,5852,4724,9260,6161,5409,2088,5738,1700,5620,2348
2900,9723,2564,1213,2312,838,1646,492,8594,760,8448,6490,4049,8413,7490,6701,4138,7945,1191,1014,8944
2901,4730,8134,8236,9149,3514,9186,9656,3611,197,1848,1818,4679,7890,4400,2275,9817,4406,624,652,724
2902,1206,2521,5318,1835,1663,629,9473,708,1506,4160,1529,3409,8882,3383,5792,5189,6160,9858,5812,5132
2903,5283,8404,7151,5637,6593,8907,7727,6156,1384,3049,5387,5809,9679,3480,9176,9219,819,546,840,5690
2904,8294,4864,5843,9538,1816,6856,3239,5186,5921,2218,2189,5207,7237,9034,9941,7254,8858,6152,3628,6814
2905,8184,2831,1076,7612,313,7133,1001,5368,4122,9426,9872,6302,9064,3908,8421,9390,1874,7382,3228,4666
2906,2139,7264,2788,3822,9337,4734,2818,1333,870,4225,1494,5917,1691,9869,878,2652,352,3972,4211,8564
2907,7925,4261,4575,5683,1836,7891,7858,844,7083,728,7075,2689,1635,1266,1632,5492,2696,5601,4439,4177
2908,2962,2726,991,7915,9307,8573,6470,4545,7746,6543,8293,1767,3655,5178,4907,9374,8333,564,9340,7757
2909,2756,2531,2891,2200,2427,2477,3060,2391,3624,5633,5622,4207,6562,2019,8123,8003,1626,3981,2935,4966
2910,8238,9212,9004,4774,3152,8677,5809,5336,5924,5154,3896,4968,6559,9442,878,8598,5664,2784,5211,4153
2911,3510,3608,3832,2549,2550,2605,2341,3990,3874,2303,2224,4425,2090,4867,5410,5370,4656,1553,6143,5295
2912,4252,4462,1855,3399,4157,3669,6825,3674,8560,9826,2439,719,6894,2566,2694,4894,744,5487,303,790
2913,4073,1893,2779,4312,2576,676,2748,2276,3863,2330,334,4652,6103,1981,1673,1470,3549,2106,1143,7255
2914,1941,8654,7579,495,5979,9961,4119,494,9503,4067,7155,7271,3646,3187,1873,4614,5315,3082,7407,9670
2915,1982,9954,9726,6699,5276,2832,2290,4686,2390,886,8363,8234,8580,1347,9042,4041,6141,2551,8318,8063
2916,6270,3116,3901,2294,9179,5034,327,4158,2697,9190,7565,4410,9524,1054,6433,4393,4913,6034,7288,525
2917,7612,3782,9359,2636,10000,9004,4285,7569,1734,5664,3488,4688,4749,3844,3208,8333,4140,2117,1378,6543
2918,2551,8825,3962,262,7108,2221,8311,9411,4714,313,926,6068,2243,267,8566,2065,318,482,5807,1522
2919,3365,2685,2402,2929,2152,1824,4436,7192,8797,548,7992,3430,9704,8610,9708,4114,8734,5322,3283,8540
2920,3470,2835,2622,2830,3167,2515,3190,3449,3786,2059,3214,2964,4056,6685,6821,5839,7376,6672,6955,7351
2921,3381,6298,9620,8819,2466,178,3451,3907,6648,6736,4822,6442,8609,1250,7227,1329,4301,3472,6222,7392
2922,6890,9783,1623,6862,6976,9626,6846,8181,4521,5679,5205,6630,3827,735,9898,2143,1451,532,2111,9527
2923,3883,4031,2034,4979,2691,3036,3254,1153,2423,5412,4216,743,9938,8791,8446,9924,2274,8891,8489,283
2924,2822,5564,6192,3979,6888,6690,4905,7822,8894,5715,7830,8067,6589,145,8131,7825,1564,6760,5764,170
2925,3261,5592,5593,8238,8515,5809,2910,1162,3152,3618,3572,6543,4211,5394,9004,5336,3488,3896,106,8613
2926,3913,8456,4531,5374,7810,5792,7022,323,8175,6844,3482,8716,2698,8452,3451,520,7462,1206,3225,180
2927,2015,1311,420,885,1802,1133,3894,6454,3197,44,123,281,7433,2738,2408,496,9493,2716,114,1316
2928,2635,573,7686,6426,8732,5995,9534,7998,4191,3149,1692,5005,1855,1330,4151,6503,4411,260,9769,1507
2929,3365,2685,2919,2402,4436,2152,1824,7192,8797,548,3430,7992,9704,8610,8734,5322,7191,7626,6658,7797
2930,2887,3673,3814,3330,2306,2807,3819,4889,1273,5576,6811,7834,5721,4901,1653,1889,1962,1636,5814,2614
2931,6966,6011,789,8187,4103,8623,8655,3609,751,890,1516,298,1332,599,2325,1224,4584,276,95,9008
2932,987,1413,9876,8414,7685,5535,3245,6224,3238,2814,4492,1997,2217,7663,5032,1502,586,5184,351,1760
2933,837,2908,7757,2628,435,475,149,382,6470,564,1849,2454,3372,7412,275,4033,7102,5308,9361,88
2934,2946,6825,5670,1601,5163,9004,8033,5487,4157,6543,8618,9275,8238,7998,5369,8333,8515,6011,4744,9629
2935,4720,3712,3179,1531,2200,7181,1626,9846,2909,5390,4665,159,1760,151,5946,8620,909,9075,7195,214
2936,2109,3362,2658,3359,2452,3200,1343,3000,5099,2501,2718,2489,1089,3654,2677,2469,2554,3858,1768,2944
2937,3395,3082,3086,3396,2353,3660,1572,1895,5923,766,7906,3055,1904,2674,4228,6611,7014,5879,2514,2170
2938,3016,2610,3998,1711,2165,1713,3516,1913,3567,5696,4390,4009,3011,5305,1430,3610,5918,4400,647,4360
2939,3963,3216,515,6588,4544,5573,6954,7079,5615,9864,7882,1421,3818,919,8625,3794,9084,5220,304,704
2940,4320,1618,504,8854,4482,7489,7165,4990,7590,8120,5571,9316,9318,9076,4287,3689,1925,9339,4090,3140
2941,5793,6423,4299,2533,4306,8810,506,423,4500,393,536,842,1472,1997,8959,2629,1668,1505,1737,9591
2942,3264,3776,840,1158,4062,3772,3091,2411,3143,1581,6264,8558,6521,7498,734,4811,3410,311,3465,6333
2943,7708,8960,4164,5349,1978,4467,9931,6813,333,2853,1713,9896,906,1587,2234,1417,228,2067,7828,2610
2944,2881,2718,3000,2658,3200,3359,2271,2677,2554,2470,3362,2501,2452,2043,2469,3654,1337,2109,5099,2489
2945,7093,3856,8124,9915,1439,7828,2449,1030,9931,6232,9750,268,5595,1866,8348,6946,6168,3296,9896,5766
2946,5369,1601,8014,2934,1992,9275,9344,5163,6384,5670,9004,2220,1507,6011,2660,4702,8046,8238,6398,6543
2947,2239,1396,4941,4215,4891,8317,6407,6598,5329,7347,2198,1693,3393,2808,3500,1918,2654,3096,1931,4553
2948,9004,4694,5394,8238,9442,2784,8613,5664,3896,3811,5809,5336,6543,8598,3152,8333,6559,5138,7730,6687
2949,5572,6540,7156,5165,8042,4926,6741,6020,7168,4278,9869,2238,3935,5677,5594,6029,4693,3887,3909,6067
2950,3033,9280,9993,8633,4688,4140,5068,2115,8858,975,4004,2592,765,6147,1241,9997,4906,3572,5225,2724
2951,5857,1724,3617,5579,4559,7595,7776,6735,4587,6635,5224,3862,2217,4573,1608,1780,2697,3424,600,2488
2952,961,5915,1783,5931,1949,2499,4582,4219,899,2197,3346,1073,2846,3642,1477,1771,1664,1088,3715,2355
2953,6917,9579,2449,7486,7944,5146,467,1136,1385,2193,2496,520,1030,495,9630,775,7066,2051,2945,638
2954,3019,2289,7934,6218,2125,1480,1128,4775,4396,988,1196,7888,6197,7502,8678,3120,8460,7143,6502,3177
2955,2237,3927,1513,1932,1336,1483,1291,6091,1473,889,4849,841,8040,7312,6667,3616,7819,433,5324,5912
2956,3030,4248,6717,3095,3226,1355,7922,6403,419,5245,636,418,4038,1609,4559,3759,3967,717,4743,8082
2957,2794,2781,3061,9004,8312,3951,493,9751,5336,6575,4153,5571,3572,2860,3392,6543,1595,9442,362,5369
2958,8605,900,3320,9055,9821,6077,6730,5212,6572,7862,6824,8047,6832,5435,2572,8242,9502,7861,5275,7398
2959,3244,2608,3177,3497,3648,2783,3536,1857,2623,1863,5805,4194,3663,6374,1480,6368,4775,2802,7981,8085
2960,1492,3535,3381,4822,6442,3077,512,5716,3101,3344,6736,6455,2209,3934,4301,8819,2466,2490,778,3907
2961,4612,1166,1043,2338,2495,8021,6986,7421,1059,5741,5260,8951,5589,7334,6477,8331,1376,1194,4934,594
2962,5105,1297,2726,1004,1720,2908,363,4962,1849,1575,1285,149,8414,1066,1919,324,2876,5503,1080,6470
2963,5968,5571,6545,7977,7590,1025,3972,3689,9076,4090,6945,3591,3140,1277,1929,9688,8120,4861,2266,4868
2964,2059,4056,3214,3786,3470,2835,2830,3190,3167,2622,2920,2515,3449,6685,6357,6821,6955,8407,5235,7851
2965,2406,3407,2047,5348,496,5049,1533,9577,8132,9433,864,1633,463,712,4682,642,8302,3974,2821,8531
2966,2070,4984,1376,1428,1194,1166,1043,8712,8341,7144,5725,392,4495,5971,9069,7130,5353,4668,4351,3836
2967,7039,2063,9459,2649,256,1714,6194,100,9691,33,8547,11,3268,3821,4759,396,291,118,7088,1242
2968,6133,4458,4230,5504,5136,5946,4665,6792,5390,1531,2861,3664,5598,9739,3276,9438,447,5444,3369,8241
2969,5506,5538,2609,8858,2418,2487,2102,6650,6499,8320,1346,914,5753,3247,4783,6025,4212,3850,6117,3619
2970,5836,4630,5639,5299,4452,7296,5829,922,6148,7289,8254,7065,2031,7525,8994,2296,1091,3035,2351,511
2971,2998,3105,3463,2105,4921,6118,7319,9996,4479,3875,7101,1962,1818,8645,980,6812,1889,9415,6725,1653
2972,4448,5096,3297,5272,1702,3426,2208,4652,6001,1219,1983,2562,2826,2153,4637,1542,9572,3107,812,6464
2973,2478,2223,2203,3857,8245,3465,4062,4657,2670,8963,3779,6668,2789,3925,9852,8090,3410,989,5061,5999
2974,2687,4659,2282,2381,1351,1535,569,3864,7804,5342,8777,2785,5501,5075,3664,5314,7643,2861,319,5585
2975,297,2098,5330,4517,1676,3764,1074,65,3202,5358,3133,1704,3396,3660,2770,405,5796,3068,6124,9482
2976,2049,5860,5114,4042,1825,1590,999,3871,1916,3304,6959,3100,7646,4236,9608,6716,1222,4658,5491,5621
2977,2640,1862,8222,7411,9429,9814,8783,9571,8291,7864,6431,8670,5655,9526,4806,8512,2045,8317,5357,1972
2978,4488,1200,1665,2118,1049,2792,970,9164,4745,3341,4378,3147,7993,7816,3798,8887,603,3249,8911,8373
2979,1576,1589,2155,1208,1900,1360,986,2041,1339,1123,1498,609,3937,1423,944,703,2352,915,911,865
2980,8543,9867,9617,234,2725,8680,2338,2148,8552,7654,6124,5691,3888,6287,8170,5436,8854,5636,1789,4677
2981,2277,4022,2746,3223,2737,3066,2398,2547,2184,3829,2214,4892,2012,2773,4490,1858,1763,2261,2568,1379
2982,9884,3139,2131,2177,9561,4104,4983,2709,4284,8819,8760,498,3379,1320,4271,7090,6662,7172,9707,6055
2983,4306,3770,9769,2369,9470,1472,4299,750,7554,2533,947,3435,525,536,8219,252,5207,3816,8810,6705
2984,4644,6735,1799,7595,2404,6628,9662,933,5965,1766,2294,9056,3424,3369,9013,6734,3132,4193,355,1944
2985,4214,7588,5020,1369,853,4094,707,6935,8111,594,8951,793,6427,1193,4311,9272,1038,4236,2068,857
2986,1958,1093,6115,805,814,783,9285,491,643,7617,449,9325,246,4038,3326,4248,6635,3862,1425,1805
2987,1799,1140,3424,5224,583,7745,5985,2217,5811,9130,2712,224,4587,434,7288,1276,4204,4761,2951,2130
2988,6138,8057,8719,5123,7750,6429,2373,8343,681,545,497,4413,227,9739,1489,6186,544,1648,6755,9194
2989,3851,4915,5013,7742,6851,4209,7316,5162,1826,3671,8796,2920,8133,5669,8710,4523,4696,1424,2830,9388
2990,3639,3402,1996,5069,1207,1907,1896,9773,1327,4535,4277,3242,2541,2361,2523,3575,1497,4206,4053,1695
2991,2633,2433,1149,1842,1685,1426,2883,1101,1052,908,1532,791,4427,616,328,1899,331,9907,7972,3067
2992,1548,2467,6006,3988,2512,9796,579,876,2696,976,1287,6498,8746,4434,1765,728,9803,679,4709,4053
2993,2199,3037,2157,5569,6788,8733,7210,2365,4777,3169,7562,2468,1569,8528,5389,402,3484,8906,9954,6483
2994,7556,7052,9406,6342,2387,8811,7313,6806,8073,381,409,5573,1185,7652,9170,3293,1649,8009,7959,8094
2995,5715,8894,7675,7825,7139,9199,2822,2400,6690,6192,7017,5261,1831,4379,8751,4263,3050,9879,588,8984
2996,5985,8502,1251,880,1227,7324,7897,7596,1780,5721,4156,1799,415,3473,4587,4901,2593,224,759,1276
2997,3793,1890,4830,1416,759,418,543,419,394,384,7957,9184,2356,210,1169,6743,319,3336,309,2130
2998,2971,3463,3105,4921,2105,6118,7101,7319,9996,4479,9712,1962,6812,8645,3875,980,7618,1818,1891,2762
2999,5958,3334,8335,8486,4502,3747,7726,9477,9042,9207,5242,6793,8379,2772,5687,9835,1482,3118,3257,1195
3000,2718,2271,3359,3200,2944,3362,2043,2554,2658,2470,2501,2881,2677,2936,2086,2489,2109,2469,2452,5099
3001,4801,3839,5547,5749,6513,8240,7700,9414,9733,1840,2317,3838,2083,3454,4781,3189,3382,1291,1483,1932
3002,4359,1681,6607,1949,959,829,2197,2875,7496,2810,879,1135,3388,1088,4485,1184,1084,2314,172,559
3003,8090,3971,3465,6139,5573,1237,2411,1100,3143,9545,1961,734,6050,8464,7586,1581,4062,3410,311,5924
3004,3434,5768,2665,1983,1769,2776,1165,2364,3943,1219,1143,4267,2153,942,1295,812,3589,6464,3263,3040
3005,3784,1831,2791,5669,4618,2180,4294,4463,3537,3050,2641,7463,5941,2383,4512,3490,4269,2113,2539,2842
3006,3884,3573,5591,5630,400,7603,9393,9428,7026,1519,2616,6165,3632,6252,7263,9894,7149,7012,7814,442
3007,825,2322,273,7458,5216,6047,6425,421,1714,3971,8464,9119,3724,6139,1171,8435,5251,7652,1231,6088
3008,4033,1284,1667,7220,1066,9328,3655,541,2435,4028,1614,1720,667,2778,9394,2364,435,7190,5724,443
3009,9762,582,1992,2414,9765,3423,680,5610,5873,8179,7866,7200,6398,2686,1684,8034,2318,2660,4397,2310
3010,5302,7752,8778,7179,2211,1744,8280,2418,9492,5828,3757,7109,4212,9637,9568,3559,5240,5082,8858,4113
3011,5427,1111,4390,4400,3567,4360,3610,777,3016,3912,9511,7751,8356,1711,2938,3998,1107,2610,1748,1879
3012,2348,4736,3691,2771,8741,7390,4254,7108,2243,6206,7914,6696,482,5087,3135,9646,2551,2332,318,6355
3013,2189,5838,910,6814,8294,6152,8135,4621,9560,9581,5901,8029,6150,3670,6418,7446,9538,2140,8563,2871
3014,5683,5590,1939,4690,4439,3740,1921,2438,6724,2096,4434,6373,8669,454,6618,6297,6409,4010,3743,4177
3015,5503,2040,2437,3192,2395,1110,2665,3778,1562,4662,2795,539,1130,6289,2972,962,2331,861,8657,644
3016,1711,2938,2610,3998,1913,1713,2165,3516,5696,3567,3011,3610,8032,1417,4400,4390,8356,1430,4360,1111
3017,4764,2779,8086,2665,2106,1893,1470,5063,1769,3107,3297,2972,1981,1673,4448,2826,6100,4312,9543,5272
3018,5135,6146,6715,5077,5801,6304,5797,8030,8830,8514,9068,5014,9000,8012,6742,7570,8002,9885,9547,8981
3019,2954,9270,8995,6407,8460,8154,4650,2289,4534,6891,1863,3177,7934,3860,4396,4608,2783,2608,4440,2947
3020,213,162,6772,597,1135,614,1161,2846,715,1074,301,6456,4622,770,1015,959,5798,4149,2024,3868
3021,5932,9065,3688,8136,9835,8843,7193,5448,7346,2598,9508,2551,273,3955,9477,6552,3747,2644,111,1567
3022,4273,646,8916,531,2076,984,4758,770,248,341,79,2366,8949,154,2544,6751,529,3948,782,9304
3023,9561,5961,2709,4483,9421,5626,7762,6876,6865,2131,6903,4335,7172,4222,8536,1976,2043,894,8792,1461
3024,5057,8375,6518,5765,9984,4880,9104,2436,5508,4726,316,4330,9834,5993,3674,9642,8819,5068,8782,2210
3025,3515,4159,1811,1694,1821,2138,1959,1606,1390,1267,1226,2094,1181,1627,1232,1151,1067,996,4895,6132
3026,4397,5228,3361,1446,4702,5424,4823,1621,5471,9700,5610,4364,9762,3413,9375,5796,4894,2327,2329,2560
3027,2025,2274,1299,4872,4316,3428,1503,3068,6322,1250,2691,6320,9857,405,5425,1676,9966,496,9689,6665
3028,5182,4368,6375,3410,1581,9407,4385,4779,6264,840,3772,734,4062,5777,7541,848,6480,757,7586,6951
3029,1755,3620,3569,4924,4353,3640,2073,2595,6306,6324,5525,2323,6200,3760,6399,5423,4756,6276,8399,6069
3030,3095,2956,4248,4038,3275,3226,7171,1754,419,636,4107,418,2001,1619,8856,8369,210,9048,6214,9661
3031,2715,2529,1861,1830,415,945,600,583,5193,434,805,1958,814,1093,783,1122,5224,491,643,4456
3032,4878,6221,7036,8426,8248,6969,218,4648,7134,203,3852,4954,6849,9412,2185,433,2826,783,9242,449
3033,2950,1048,2115,7245,1734,5545,6435,5225,6317,9834,4904,1313,1158,1234,8081,7205,6046,8858,6045,1154
